
> @yellatech/engine@0.13.9 load-test
> tsx examples/load-test.ts realistic

Dashboard: http://127.0.0.1:3400

Yella Engine Load Test  [Realistic (API call simulation)]
════════════════════════════════════════════════════════════════════════════════
  Concurrency:   50
  Duration:      300s across 6 phases
  Seed events:   ~9,060 (each spawns 4-7 runs)
  Expected runs: ~45,300 (mixed shallow/deep)
  Handler time:  200-600ms (main), 20-80ms (validate)
  Failure rate:  3%  |  Slow outliers: 5% (2000-5000ms)
  Retry policy:  2 retries, exponential backoff (500ms, 1s, 2s)

  Phases:
    warm-up         2 events/s × 30s
    steady         10 events/s × 60s
    peak           30 events/s × 60s
    surge          60 events/s × 60s
    spike         100 events/s × 30s
    cool-down       0 events/s × 60s
════════════════════════════════════════════════════════════════════════════════

     ts │ phase        │ queue                │    completed │   throughput │         p95 │      rss │ sq
─────────────────────────────────────────────────────────────────────────────────────────────────────────
     2s │ warm-up      │ q:     0 idle   1 run │ done:      13 │     6.5 run/s │ p95:  1000ms │ rss: 136MB │ sq: 0
     4s │ warm-up      │ q:     0 idle   4 run │ done:      26 │     6.5 run/s │ p95:  1000ms │ rss: 136MB │ sq: 0
     6s │ warm-up      │ q:     0 idle   4 run │ done:      50 │      12 run/s │ p95:  1000ms │ rss: 138MB │ sq: 0
     8s │ warm-up      │ q:     0 idle   3 run │ done:      68 │       9 run/s │ p95:  1000ms │ rss: 139MB │ sq: 0
    10s │ warm-up      │ q:     0 idle   2 run │ done:      82 │       7 run/s │ p95:  1000ms │ rss: 140MB │ sq: 0
    12s │ warm-up      │ q:     0 idle   3 run │ done:      94 │       6 run/s │ p95:  1000ms │ rss: 140MB │ sq: 0
    14s │ warm-up      │ q:     0 idle   6 run │ done:     109 │     7.5 run/s │ p95:  1000ms │ rss: 140MB │ sq: 0
    16s │ warm-up      │ q:     0 idle   4 run │ done:     138 │    14.5 run/s │ p95:  1000ms │ rss: 140MB │ sq: 0
    18s │ warm-up      │ q:     0 idle   5 run │ done:     157 │     9.5 run/s │ p95:  1000ms │ rss: 140MB │ sq: 0
    20s │ warm-up      │ q:     1 idle   3 run │ done:     176 │     9.5 run/s │ p95:  1000ms │ rss: 140MB │ sq: 0
    22s │ warm-up      │ q:     0 idle   3 run │ done:     194 │       9 run/s │ p95:  1000ms │ rss: 140MB │ sq: 0
    24s │ warm-up      │ q:     0 idle   5 run │ done:     213 │     9.5 run/s │ p95:  1000ms │ rss: 140MB │ sq: 0
    26s │ warm-up      │ q:     0 idle   4 run │ done:     235 │      11 run/s │ p95:  1000ms │ rss: 140MB │ sq: 0
    28s │ warm-up      │ q:     0 idle   5 run │ done:     251 │       8 run/s │ p95:  1000ms │ rss: 140MB │ sq: 0
    30s │ warm-up      │ q:     0 idle   6 run │ done:     260 │     4.5 run/s │ p95:  1000ms │ rss: 140MB │ sq: 0
    32s │ steady       │ q:     0 idle  17 run │ done:     309 │    24.5 run/s │ p95:  1000ms │ rss: 140MB │ sq: 0
    34s │ steady       │ q:     2 idle  18 run │ done:     397 │      44 run/s │ p95:  1000ms │ rss: 140MB │ sq: 0
    36s │ steady       │ q:     0 idle  20 run │ done:     496 │    49.5 run/s │ p95:  1000ms │ rss: 140MB │ sq: 0
    38s │ steady       │ q:     3 idle  21 run │ done:     570 │      37 run/s │ p95:  1000ms │ rss: 140MB │ sq: 0
    40s │ steady       │ q:     1 idle  24 run │ done:     671 │    50.5 run/s │ p95:  1000ms │ rss: 140MB │ sq: 0
    42s │ steady       │ q:     1 idle  19 run │ done:     782 │    55.5 run/s │ p95:  1000ms │ rss: 140MB │ sq: 0
    44s │ steady       │ q:     1 idle  16 run │ done:     869 │    43.5 run/s │ p95:  1000ms │ rss: 141MB │ sq: 0
    46s │ steady       │ q:     1 idle  19 run │ done:     946 │    38.5 run/s │ p95:  1000ms │ rss: 141MB │ sq: 0
    48s │ steady       │ q:     0 idle  24 run │ done:   1,027 │    40.5 run/s │ p95:  1000ms │ rss: 142MB │ sq: 0
    50s │ steady       │ q:     1 idle  21 run │ done:   1,117 │      45 run/s │ p95:  2500ms │ rss: 142MB │ sq: 0
    52s │ steady       │ q:     2 idle  18 run │ done:   1,213 │      48 run/s │ p95:  2500ms │ rss: 142MB │ sq: 0
    54s │ steady       │ q:     1 idle  14 run │ done:   1,313 │      50 run/s │ p95:  2500ms │ rss: 142MB │ sq: 0
    56s │ steady       │ q:     1 idle  16 run │ done:   1,382 │    34.5 run/s │ p95:  2500ms │ rss: 142MB │ sq: 0
