
> @yellatech/engine@0.13.9 load-test
> tsx examples/load-test.ts realistic

Dashboard: http://127.0.0.1:3400

Yella Engine Load Test  [Realistic (API call simulation)]
════════════════════════════════════════════════════════════════════════════════
  Concurrency:   20
  Duration:      300s across 6 phases
  Seed events:   ~9,060 (each spawns 4-7 runs)
  Expected runs: ~45,300 (mixed shallow/deep)
  Handler time:  200-600ms (main), 20-80ms (validate)
  Failure rate:  3%  |  Slow outliers: 5% (2000-5000ms)
  Retry policy:  2 retries, exponential backoff (500ms, 1s, 2s)

  Phases:
    warm-up         2 events/s × 30s
    steady         10 events/s × 60s
    peak           30 events/s × 60s
    surge          60 events/s × 60s
    spike         100 events/s × 30s
    cool-down       0 events/s × 60s
════════════════════════════════════════════════════════════════════════════════

     ts │ phase        │ queue                │    completed │   throughput │         p95 │      rss │ sq
    86s │ steady       │ q:     9 idle  20 run │ done:   2,773 │    50.5 run/s │ p95:  2500ms │ rss: 151MB │ sq: 0
    88s │ steady       │ q:     0 idle  20 run │ done:   2,874 │    50.5 run/s │ p95:  2500ms │ rss: 151MB │ sq: 0
    90s │ steady       │ q:    12 idle  20 run │ done:   2,944 │      35 run/s │ p95:  2500ms │ rss: 151MB │ sq: 0
    92s │ peak         │ q:    54 idle  20 run │ done:   3,048 │      52 run/s │ p95:  2500ms │ rss: 151MB │ sq: 0
    94s │ peak         │ q:   103 idle  20 run │ done:   3,138 │      45 run/s │ p95:  2500ms │ rss: 151MB │ sq: 0
    96s │ peak         │ q:   151 idle  20 run │ done:   3,237 │    49.5 run/s │ p95:  2500ms │ rss: 152MB │ sq: 0
    98s │ peak         │ q:   215 idle  20 run │ done:   3,330 │    46.5 run/s │ p95:  2500ms │ rss: 152MB │ sq: 0
   100s │ peak         │ q:   268 idle  20 run │ done:   3,423 │    46.5 run/s │ p95:  2500ms │ rss: 152MB │ sq: 0
   102s │ peak         │ q:   327 idle  20 run │ done:   3,507 │      42 run/s │ p95:  2500ms │ rss: 153MB │ sq: 0
   104s │ peak         │ q:   378 idle  20 run │ done:   3,604 │    48.5 run/s │ p95:  2500ms │ rss: 153MB │ sq: 0
   106s │ peak         │ q:   420 idle  20 run │ done:   3,695 │    45.5 run/s │ p95:  2500ms │ rss: 153MB │ sq: 0
   108s │ peak         │ q:   454 idle  20 run │ done:   3,788 │    46.5 run/s │ p95:  2500ms │ rss: 154MB │ sq: 0
   110s │ peak         │ q:   504 idle  20 run │ done:   3,899 │    55.5 run/s │ p95:  2500ms │ rss: 154MB │ sq: 0
   112s │ peak         │ q:   553 idle  20 run │ done:   3,983 │      42 run/s │ p95:  2500ms │ rss: 154MB │ sq: 0
   114s │ peak         │ q:   616 idle  20 run │ done:   4,090 │    53.5 run/s │ p95:  2500ms │ rss: 154MB │ sq: 0
   116s │ peak         │ q:   685 idle  20 run │ done:   4,211 │    60.5 run/s │ p95:  2500ms │ rss: 155MB │ sq: 0
   118s │ peak         │ q:   742 idle  20 run │ done:   4,296 │    42.5 run/s │ p95:  2500ms │ rss: 155MB │ sq: 0
   120s │ peak         │ q:   797 idle  20 run │ done:   4,375 │    39.5 run/s │ p95:  2500ms │ rss: 155MB │ sq: 0
   122s │ peak         │ q:   860 idle  20 run │ done:   4,437 │      31 run/s │ p95:  2500ms │ rss: 156MB │ sq: 0
   124s │ peak         │ q:   913 idle  20 run │ done:   4,517 │      40 run/s │ p95:  2500ms │ rss: 156MB │ sq: 0
   126s │ peak         │ q:   947 idle  20 run │ done:   4,642 │    62.5 run/s │ p95:  2500ms │ rss: 157MB │ sq: 0
   128s │ peak         │ q:  1000 idle  20 run │ done:   4,745 │    51.5 run/s │ p95:  2500ms │ rss: 157MB │ sq: 0
   130s │ peak         │ q:  1052 idle  20 run │ done:   4,822 │    38.5 run/s │ p95:  2500ms │ rss: 157MB │ sq: 0
   132s │ peak         │ q:  1107 idle  20 run │ done:   4,911 │    44.5 run/s │ p95:  2500ms │ rss: 158MB │ sq: 0
   134s │ peak         │ q:  1152 idle  20 run │ done:   5,030 │    59.5 run/s │ p95:  2500ms │ rss: 158MB │ sq: 0
   136s │ peak         │ q:  1196 idle  20 run │ done:   5,130 │      50 run/s │ p95:  2500ms │ rss: 159MB │ sq: 0
   138s │ peak         │ q:  1245 idle  20 run │ done:   5,210 │      40 run/s │ p95:  2500ms │ rss: 159MB │ sq: 0
   140s │ peak         │ q:  1295 idle  20 run │ done:   5,305 │    47.5 run/s │ p95:  2500ms │ rss: 159MB │ sq: 0
   142s │ peak         │ q:  1352 idle  20 run │ done:   5,424 │    59.5 run/s │ p95:  2500ms │ rss: 159MB │ sq: 0
   144s │ peak         │ q:  1420 idle  20 run │ done:   5,523 │    49.5 run/s │ p95:  2500ms │ rss: 160MB │ sq: 0
   146s │ peak         │ q:  1484 idle  20 run │ done:   5,601 │      39 run/s │ p95:  2500ms │ rss: 160MB │ sq: 0
   148s │ peak         │ q:  1540 idle  20 run │ done:   5,687 │      43 run/s │ p95:  2500ms │ rss: 161MB │ sq: 0
   150s │ peak         │ q:  1573 idle  20 run │ done:   5,787 │      50 run/s │ p95:  2500ms │ rss: 161MB │ sq: 0
   152s │ surge        │ q:  1669 idle  20 run │ done:   5,887 │      50 run/s │ p95:  2500ms │ rss: 161MB │ sq: 0
   154s │ surge        │ q:  1771 idle  20 run │ done:   5,973 │      43 run/s │ p95:  2500ms │ rss: 162MB │ sq: 0
   156s │ surge        │ q:  1882 idle  20 run │ done:   6,052 │    39.5 run/s │ p95:  2500ms │ rss: 162MB │ sq: 0
   158s │ surge        │ q:  1997 idle  20 run │ done:   6,127 │    37.5 run/s │ p95:  2500ms │ rss: 162MB │ sq: 0
   160s │ surge        │ q:  2120 idle  20 run │ done:   6,216 │    44.5 run/s │ p95:  2500ms │ rss: 163MB │ sq: 0
   162s │ surge        │ q:  2240 idle  20 run │ done:   6,316 │      50 run/s │ p95:  2500ms │ rss: 164MB │ sq: 0
   164s │ surge        │ q:  2356 idle  20 run │ done:   6,416 │      50 run/s │ p95:  2500ms │ rss: 164MB │ sq: 0
   166s │ surge        │ q:  2479 idle  20 run │ done:   6,520 │      52 run/s │ p95:  2500ms │ rss: 164MB │ sq: 0
   168s │ surge        │ q:  2598 idle  20 run │ done:   6,617 │    48.5 run/s │ p95:  2500ms │ rss: 165MB │ sq: 0
   170s │ surge        │ q:  2710 idle  20 run │ done:   6,714 │    48.5 run/s │ p95:  2500ms │ rss: 165MB │ sq: 0
   172s │ surge        │ q:  2819 idle  20 run │ done:   6,811 │    48.5 run/s │ p95:  2500ms │ rss: 166MB │ sq: 0
   174s │ surge        │ q:  2923 idle  20 run │ done:   6,912 │    50.5 run/s │ p95:  2500ms │ rss: 167MB │ sq: 0
   176s │ surge        │ q:  3027 idle  20 run │ done:   7,011 │    49.5 run/s │ p95:  2500ms │ rss: 171MB │ sq: 0
   178s │ surge        │ q:  3136 idle  20 run │ done:   7,101 │      45 run/s │ p95:  2500ms │ rss: 173MB │ sq: 0
   180s │ surge        │ q:  3248 idle  20 run │ done:   7,203 │      51 run/s │ p95:  2500ms │ rss: 180MB │ sq: 0
   182s │ surge        │ q:  3362 idle  20 run │ done:   7,294 │    45.5 run/s │ p95:  2500ms │ rss: 180MB │ sq: 0
   184s │ surge        │ q:  3484 idle  20 run │ done:   7,382 │      44 run/s │ p95:  2500ms │ rss: 180MB │ sq: 0
   186s │ surge        │ q:  3604 idle  20 run │ done:   7,506 │      62 run/s │ p95:  2500ms │ rss: 180MB │ sq: 0
   188s │ surge        │ q:  3731 idle  20 run │ done:   7,631 │    62.5 run/s │ p95:  2500ms │ rss: 180MB │ sq: 0
   190s │ surge        │ q:  3853 idle  20 run │ done:   7,720 │    44.5 run/s │ p95:  2500ms │ rss: 180MB │ sq: 0
   192s │ surge        │ q:  3964 idle  20 run │ done:   7,836 │      58 run/s │ p95:  2500ms │ rss: 180MB │ sq: 0
   194s │ surge        │ q:  4071 idle  20 run │ done:   7,933 │    48.5 run/s │ p95:  2500ms │ rss: 180MB │ sq: 0
   196s │ surge        │ q:  4178 idle  20 run │ done:   8,065 │      66 run/s │ p95:  2500ms │ rss: 180MB │ sq: 0
   198s │ surge        │ q:  4296 idle  20 run │ done:   8,181 │      58 run/s │ p95:  2500ms │ rss: 180MB │ sq: 0
   200s │ surge        │ q:  4397 idle  20 run │ done:   8,299 │      59 run/s │ p95:  2500ms │ rss: 180MB │ sq: 0
   202s │ surge        │ q:  4512 idle  20 run │ done:   8,406 │    53.5 run/s │ p95:  2500ms │ rss: 180MB │ sq: 0
   204s │ surge        │ q:  4616 idle  20 run │ done:   8,508 │      51 run/s │ p95:  2500ms │ rss: 180MB │ sq: 0
   206s │ surge        │ q:  4736 idle  20 run │ done:   8,568 │      30 run/s │ p95:  2500ms │ rss: 180MB │ sq: 0
   208s │ surge        │ q:  4851 idle  20 run │ done:   8,649 │    40.5 run/s │ p95:  2500ms │ rss: 180MB │ sq: 0
   210s │ surge        │ q:  4973 idle  20 run │ done:   8,728 │    39.5 run/s │ p95:  2500ms │ rss: 180MB │ sq: 0
   212s │ spike        │ q:  5147 idle  20 run │ done:   8,823 │    47.5 run/s │ p95:  2500ms │ rss: 180MB │ sq: 0
   214s │ spike        │ q:  5320 idle  20 run │ done:   8,928 │    52.5 run/s │ p95:  2500ms │ rss: 180MB │ sq: 0
   216s │ spike        │ q:  5491 idle  20 run │ done:   9,063 │    67.5 run/s │ p95:  2500ms │ rss: 180MB │ sq: 0
   218s │ spike        │ q:  5663 idle  20 run │ done:   9,154 │    45.5 run/s │ p95:  2500ms │ rss: 180MB │ sq: 0
   220s │ spike        │ q:  5830 idle  20 run │ done:   9,223 │    34.5 run/s │ p95:  2500ms │ rss: 180MB │ sq: 0
   222s │ spike        │ q:  5999 idle  20 run │ done:   9,339 │      58 run/s │ p95:  2500ms │ rss: 180MB │ sq: 0
   224s │ spike        │ q:  6161 idle  20 run │ done:   9,448 │    54.5 run/s │ p95:  2500ms │ rss: 181MB │ sq: 0
   226s │ spike        │ q:  6330 idle  20 run │ done:   9,564 │      58 run/s │ p95:  2500ms │ rss: 181MB │ sq: 0
   228s │ spike        │ q:  6499 idle  20 run │ done:   9,687 │    61.5 run/s │ p95:  2500ms │ rss: 181MB │ sq: 0
   230s │ spike        │ q:  6670 idle  20 run │ done:   9,796 │    54.5 run/s │ p95:  2500ms │ rss: 181MB │ sq: 0
   232s │ spike        │ q:  6846 idle  20 run │ done:   9,894 │      49 run/s │ p95:  2500ms │ rss: 181MB │ sq: 0
   234s │ spike        │ q:  7020 idle  20 run │ done:  10,004 │      55 run/s │ p95:  2500ms │ rss: 180MB │ sq: 0
   236s │ spike        │ q:  7200 idle  20 run │ done:  10,141 │    68.5 run/s │ p95:  2500ms │ rss: 180MB │ sq: 0
   238s │ spike        │ q:  7370 idle  20 run │ done:  10,233 │      46 run/s │ p95:  2500ms │ rss: 180MB │ sq: 0
   240s │ spike        │ q:  7555 idle  20 run │ done:  10,328 │    47.5 run/s │ p95:  2500ms │ rss: 180MB │ sq: 0
   242s │ cool-down    │ q:  7560 idle  20 run │ done:  10,431 │    51.5 run/s │ p95:  2500ms │ rss: 180MB │ sq: 0
   244s │ cool-down    │ q:  7563 idle  20 run │ done:  10,527 │      48 run/s │ p95:  2500ms │ rss: 180MB │ sq: 0
   246s │ cool-down    │ q:  7564 idle  20 run │ done:  10,619 │      46 run/s │ p95:  2500ms │ rss: 180MB │ sq: 0
   248s │ cool-down    │ q:  7546 idle  20 run │ done:  10,745 │      63 run/s │ p95:  2500ms │ rss: 180MB │ sq: 0
   250s │ cool-down    │ q:  7531 idle  20 run │ done:  10,827 │      41 run/s │ p95:  2500ms │ rss: 180MB │ sq: 0
   252s │ cool-down    │ q:  7530 idle  20 run │ done:  10,924 │    48.5 run/s │ p95:  2500ms │ rss: 180MB │ sq: 0
   254s │ cool-down    │ q:  7526 idle  20 run │ done:  11,060 │      68 run/s │ p95:  2500ms │ rss: 181MB │ sq: 0
   256s │ cool-down    │ q:  7528 idle  20 run │ done:  11,183 │    61.5 run/s │ p95:  2500ms │ rss: 181MB │ sq: 0
   258s │ cool-down    │ q:  7538 idle  20 run │ done:  11,262 │    39.5 run/s │ p95:  2500ms │ rss: 181MB │ sq: 0
   260s │ cool-down    │ q:  7541 idle  20 run │ done:  11,347 │    42.5 run/s │ p95:  2500ms │ rss: 181MB │ sq: 0
   262s │ cool-down    │ q:  7557 idle  20 run │ done:  11,433 │      43 run/s │ p95:  2500ms │ rss: 181MB │ sq: 0
   264s │ cool-down    │ q:  7561 idle  20 run │ done:  11,522 │    44.5 run/s │ p95:  2500ms │ rss: 181MB │ sq: 0
   266s │ cool-down    │ q:  7562 idle  20 run │ done:  11,613 │    45.5 run/s │ p95:  2500ms │ rss: 181MB │ sq: 0
   268s │ cool-down    │ q:  7571 idle  20 run │ done:  11,690 │    38.5 run/s │ p95:  2500ms │ rss: 181MB │ sq: 0
